reader_id,full_name,class,birth_date,gender,password
DG011,Huynh Hien,DHKHDL19A,2005-01-12,Nam,123456
DG012,Nguyen Thi Lan,CNTT1,2004-04-21,Nữ,123456
DG013,Tran Quoc Anh,CNTT2,2004-06-09,Nam,123456
DG014,Pham My Linh,QTKD1,2004-11-30,Nữ,123456
DG015,Le Minh Hoang,QTKD2,2003-12-20,Nam,123456
DG016,Vu Thi Thu,KT1,2004-02-02,Nữ,123456
DG017,Doan Tuan,KTPM1,2004-07-18,Nam,123456
DG018,Nguyen Ngoc Anh,KTPM2,2005-03-08,Nữ,123456
DG019,Tran Duc Manh,DL1,2003-09-15,Nam,123456
DG020,Hoang Thao,DL2,2004-05-26,Nữ,123456
DG021,Bui Gia Bao,CNTT3,2004-08-14,Nam,123456
DG022,Nguyen Thu Hien,CNTT4,2004-10-01,Nữ,123456
DG023,Pham Quang Huy,QTKD3,2005-02-22,Nam,123456
DG024,Tran Hoai Thu,QTKD4,2004-12-05,Nữ,123456
DG025,Le Duc Anh,KT2,2003-04-10,Nam,123456
DG026,Do Thi Mai,KT3,2004-09-28,Nữ,123456
DG027,Nguyen Hoai Nam,KTPM3,2004-01-17,Nam,123456
DG028,Vu Minh Chau,KTPM4,2005-06-03,Nữ,123456
DG029,Tran Phuong,DL3,2004-03-12,Nữ,123456
DG030,Do Trung Kien,DL4,2003-11-09,Nam,123456
